../bba/Open_and_Rebid.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
58    S  1N-S       150          J982.432.AQ2.A98 QT73.KJ.JT85.KT3 K.AQ9.K963.QJ754 A654.T8765.74.62 | 1C-P-1S-P-1N
59    S  4S-N       480          AQJT53.A983.T.63 97.JT754.A93.542 K62.K.QJ542.AQ87 84.Q62.K876.KJT9 | 1D-P-1S-P-2C-P-3H-P-3S-P-4S
60    S  1N-S       120          Q8742.T2.AT.QJ85 J95.AJ64.K832.T7 A6.Q973.J974.AK6 KT3.K85.Q65.9432 | 1D-P-1S-P-1N
61    S  3N-S       600          AKJ72.KT97.T6.74 Q95.852.Q42.KJ86 3.AQ3.J9873.AQ95 T864.J64.AK5.T32 | 1D-P-1S-P-2C-P-2H-P-3N
62    S  2D-S       110          KT962.54.AT4.QT6 543.J7632.Q.A952 AQ.K8.J9853.KJ87 J87.AQT9.K762.43 | 1D-P-1S-P-2C-P-2D
63    S  1N-S        90          85432.A2.KQ95.54 KQT.T973.642.KJ9 J7.QJ64.A83.A876 A96.K85.JT7.QT32 | 1C-P-1S-P-1N
64    S  1N-S       -50          7652.KQT94.8.K76 K83.J53.KQ63.JT2 AQJ.A.T974.Q9854 T94.8762.AJ52.A3 | 1C-P-1H-P-1N
65    S  3N-S       400          Q96.AQT98.965.QT J872.KJ4.AJT.872 AK.63.K732.A9653 T543.752.Q84.KJ4 | 1C-P-1H-P-1N-P-2H-P-3D-P-3N
66    S  3C-S       170          KJ64.A7632.63.K4 A73.JT954.742.32 98.8.AKT9.AQJT85 QT52.KQ.QJ85.976 | 1C-P-1H-P-2C-P-3C
67    S  2D-S       150          J542.753.AK9.QT2 K876.KT6.653.J95 3.AJ2.QJT87.AK43 AQT9.Q984.42.876 | 1D-P-1S-P-2C-P-2D
68    S  2D-N       110          T962.KJ52.Q842.A A43.9643.JT5.J65 Q7.Q8.AK76.KT973 KJ85.AT7.93.Q842 | 1C-P-1D-P-2D
69    S  4H-N       620          AT.KQ87432.8.Q42 KJ93.AJ6.943.J65 Q65.9.AKJ76.KT98 8742.T5.QT52.A73 | 1D-P-1H-P-2C-P-4H
70    S  4H-S       -50          AJ94.952.KJ875.J T765.Q83.A93.843 Q.KJT76.Q.AQT952 K832.A4.T642.K76 | 1C-P-1D-P-1H-P-1S-P-3H-P-4H
71    S  4H-S       650          K764.QJ6.Q.QT752 Q853.75.A432.K83 A.AKT83.KT9765.6 JT92.942.J8.AJ94 | 1D-P-1S-P-2H-P-3N-P-4H
72    S  2D-S       150          A952.A873.T874.J Q86.KT64.Q5.KT76 J7.QJ.AJ932.AQ52 KT43.952.K6.9843 | 1D-P-1H-P-2C-P-2D
73    S  3N-S       430          KT.A873.T9754.A5 Q76.K962.K62.Q86 AJ52.QJ4.AJ3.J94 9843.T5.Q8.KT732 | 1C-P-1D-P-1N-P-2D-P-3S-P-3N
74    S  1N-S        90          J5.T974.KJ64.KT4 K763.K65.A982.86 Q84.QJ83.Q5.AQ75 AT92.A2.T73.J932 | 1C-P-1D-P-1N
75    S  2D-N       110          A854.Q7.Q972.T73 J763.A532.AJ8.54 Q.KJ4.T543.KQJ92 KT92.T986.K6.A86 | 1C-P-1D-P-2D
76    S  1N-S       120          KQ53.QT32.A7.765 7642.A84.QJT9.98 A8.J9.K865.KQ432 JT9.K765.432.AJT | 1C-P-1H-P-1N
77    S  1N-S        90          T64.K542.76.KQ96 Q732.AQJ8.832.84 A98.73.KJT5.AJT5 KJ5.T96.AQ94.732 | 1D-P-1H-P-1N
78    S  3H-N       -50          JT5.AQJ986.J5.76 K94.542.A92.J432 AQ6.3.QT74.KQ985 8732.KT7.K863.AT | 1C-P-1H-P-1N-P-2H-P-2N-P-3H
79    S  2C-S       110          KQJ95.T42.K875.3 AT872.8765.2.QT8 6.Q9.AJ96.AKJ752 43.AKJ3.QT43.964 | 1C-P-1S-P-2C
80    S  4H-S      -100          AJ632.53.5.A8765 QT98.A74.74.QJ93 K.KQ982.KQT986.2 754.JT6.AJ32.KT4 | 1D-P-1S-P-4H
81    S  3S-N       140          95432.AJ954.K8.4 KQ.K63.9543.J986 T76.8.AJ62.AKQT5 AJ8.QT72.QT7.732 | 1C-P-1S-P-1N-P-2H-P-3S
82    S  4S-N       650          AJT8542.A94.3.Q9 K9.J6532.KT76.32 73.KQ.A854.KJ864 Q6.T87.QJ92.AT75 | 1C-P-1S-P-1N-P-4S
83    S  3N-S       400          AK8643.K984.J9.5 J975.QT6.63.AJ32 Q.A53.AQ754.Q864 T2.J72.KT82.KT97 | 1D-P-1S-P-2C-P-3H-P-3N
84    S  2S-N       110          A7542.KQ2.97.Q43 KJ63.J83.J65.K95 T8.64.AKQT.A8762 Q9.AT975.8432.JT | 1C-P-1S-P-1N-P-2S
85    S  3N-N       630          AQT72.A72.J86.74 K963.965.AT42.QJ 5.KQ.K9753.AK932 J84.JT843.Q.T865 | 1D-P-1S-P-2C-P-2N-P-3N
86    S  2D-S       130          T98.AKQ4.764.QT5 J754.T9865.J3.K3 AK.72.AQ952.J862 Q632.J3.KT8.A974 | 1D-P-1H-P-2C-P-2D
87    S  2C-S        90          QJT.J7542.95.KT2 9865.Q6.A43.Q753 AK.AT.QJ862.J964 7432.K983.KT7.A8 | 1D-P-1H-P-2C
88    S  3S-N       140          AT9743.KT98.K4.2 KQ6.543.A73.JT73 85.Q7.QJ982.AQ64 J2.AJ62.T65.K985 | P-P-3S
89    S  3N-S       400          AKJ62.T72.98.KT7 Q985.A64.KT73.J2 7.KQ5.QJ62.AQ864 T43.J983.A54.953 | 1C-P-1S-P-1N-P-2S-P-3D-P-3N
90    S  4S-N       620          KQ8752.8.96.AQ82 J64.AQT6.42.T975 A.KJ732.KQJT53.6 T93.954.A87.KJ43 | 1D-P-1S-P-2H-P-3C-P-3D-P-4S
91    S  2S-N       140          A6532.KQT2.94.42 T87.J94.K52.QJT9 K4.87.AT73.AK865 QJ9.A653.QJ86.73 | 1C-P-1S-P-1N-P-2H-P-2S
92    S  2D-S       110          KQ632.J98.Q86.54 J984.A753.J2.A83 T.K2.AT974.KQJT9 A75.QT64.K53.762 | 1D-P-1S-P-2C-P-2D
93    S  3S-N      -100          AK8742.J4.J94.85 Q965.KT52.QT7.T4 3.A76.K653.AK762 JT.Q983.A82.QJ93 | 1C-P-1S-P-1N-P-2S-P-3D-P-3S
94    S  2D-N       130          AJ62.AJ94.T985.T 984.KT52.A3.J765 T5.Q8.KQ72.AQ984 KQ73.763.J64.K32 | 1C-P-1D-P-2D
95    S  3D-N       110          QJ43.763.A985.A5 AT65.K942.T2.QJ9 97.AQ.Q764.KT742 K82.JT85.KJ3.863 | 1C-P-1D-P-2D-P-P-X-P-2H-3D
96    S  3N-S       -50          A9642.QJT87.K6.5 KJ3.A93.954.Q974 5.65.AJT7.AKJT32 QT87.K42.Q832.86 | 1C-P-1S-P-2C-P-2H-P-3N
97    S  1N-S       150          AT84.T54.AT4.Q53 KJ6.J87.9832.K74 73.AQ.KJ76.AJ982 Q952.K9632.Q5.T6 | 1C-P-1S-P-1N
98    S  2C-S       110          QT976.KJ76.T2.Q9 J854.Q93.QJ6.KT6 K.T2.AK973.AJ743 A32.A854.854.852 | 1D-P-1S-P-2C
99    S  2C-S        90          QT875.AK975.7.75 K94.643.A642.K94 J3.Q8.KQJT9.AQ82 A62.JT2.853.JT63 | 1D-P-1S-P-2C
100   S  3N-S       600          KQJ2.QJ975.QT5.T 76.KT64.A743.J54 AT.82.KJ92.AK982 98543.A3.86.Q763 | 1C-P-1H-P-1N-P-2H-P-3N
101   S  3C-S       130          QJ65.Q86.T5.AQT6 K82.AT32.QJ94.92 73.J.AK83.KJ8543 AT94.K9754.762.7 | 1C-P-1S-P-2C-P-3C
102   S  2S-S       200          9543.AJ542.T.KQ4 K82.KT93.9865.75 AQ76..KJ43.AJT32 JT.Q876.AQ72.986 | 1C-P-1H-P-1S-P-2S
103   S  3N-S      -100          KQJ865.A643.T4.5 94.T8752.A853.K2 AT.9.KJ72.AQ9863 732.KQJ.Q96.JT74 | 1C-P-1S-P-2C-P-2H-P-3N
104   S  3N-N       430          J832.AQT53.AT9.8 KT65.K976.K8.976 A4.8.7532.AKQJ32 Q97.J42.QJ64.T54 | 1C-P-1H-P-2C-P-2N-P-3N
105   S  3N-S       -50          AK975.98643.QJ.3 J6.AKT7.643.Q984 4.J5.AT975.AKJ62 QT832.Q2.K82.T75 | 1D-P-1S-P-2C-P-2H-P-3N
106   S  4S-N       650          QJ6432.AQ96.82.5 A97.T832.93.K982 KT.J.KQT54.AJ743 85.K754.AJ76.QT6 | 1D-P-1S-P-2C-P-2S-P-3S-P-4S
107   S  2D-S       130          J875.KQ4.J52.A96 T632.AT973.T3.J7 AK.J8.A9864.KT54 Q94.652.KQ7.Q832 | 1D-P-1S-P-2C-P-2D
108   S  2N-N       120          63.AK53.Q3.QT986 K984.JT76.K842.5 AQT5.942.J96.AJ7 J72.Q8.AT75.K432 | 1C-P-1H-P-1S-P-2N
109   S  2D-S       110          QJ4.QJ976.T53.A4 T65.AT83.62.KJT2 K82.K.AQ974.Q865 A973.542.KJ8.973 | 1D-P-1H-P-2C-P-2D
110   S  2H-N       230          A6432.JT543.KQ2. KQJ.82.T865.A762 9.AQ9.AJ43.JT984 T875.K76.97.KQ53 | 1C-P-1S-P-1N-P-2H
111   S  2S-N       140          KQT842.Q63.94.KT 53.KJ42.QT75.Q98 9.T7.AKJ6.AJ6432 AJ76.A985.832.75 | 1C-P-1S-P-2C-P-2S
112   S  4H-N       420          K7.QJ98654.A973. JT64.AT2.JT2.Q62 853..KQ54.AKT874 AQ92.K73.86.J953 | 1C-P-1H-P-2C-P-4H
113   S  2H-N       110          Q83.AK9743.9.J76 A64.T65.JT84.K53 JT7..AKQ53.AT942 K952.QJ82.762.Q8 | 1D-P-1H-P-2C-P-2H
114   S  1N-S      -200          Q984.KQ9742.974. 75.J865.Q86.AQ83 K32.A.AKT5.96542 AJT6.T3.J32.KJT7 | 1C-P-1H-P-1N
115   S  2H-N       140          J4.KJ8754.A8.764 Q762.AQ.T965.952 K93.6.KJ732.AQJT AT85.T932.Q4.K83 | 1D-P-1H-P-2C-P-2H
116   S  2S-N       140          KQJT76.86.9.AT86 82.AJ97.7532.KJ7 A.K52.KQJ84.9542 9543.QT43.AT6.Q3 | 1D-P-1S-P-2C-P-2S
117   S  2H-N       170          AKJ74.J975.T95.7 Q96.AQ32.76.QT54 2.KT4.K843.AKJ82 T853.86.AQJ2.963 | 1C-P-1S-P-1N-P-2H
118   S  3C-S       110          JT95.K843.KJ2.T8 K76.JT62.T85.K75 A4.Q.A963.AJ6432 Q832.A975.Q74.Q9 | 1C-P-1H-P-3C
119   S  2C-S       130          853.A9762.J6.A86 Q642.Q854.K74.Q9 AK.J.T853.KJT742 JT97.KT3.AQ92.53 | 1C-P-1H-P-2C
120   S  3N-N       430          AQJ5.J9854.KT.98 T863.Q32.7632.Q6 7.A6.AQJ95.KJT32 K942.KT7.84.A754 | 1D-P-1H-P-2C-P-2N-P-3N
121   S  2S-N       110          98542.AQ75.Q.Q53 Q3.KT42.AJ85.762 K7.J6.K432.AKJT8 AJT6.983.T976.94 | 1C-P-1S-P-1N-P-2H-P-2S
122   S  3N-S       630          Q7.AT8742.AJ4.T3 K86.Q53.QT76.QJ7 AJ5.K.K953.A6542 T9432.J96.82.K98 | 1C-P-1H-P-1N-P-2H-P-3N
123   S  1N-S        90          J942.KJ62.8.KJT3 AT85.QT7.Q653.Q8 3.953.AK74.A9762 KQ76.A84.JT92.54 | 1C-P-1H-P-1N
124   S  1N-S        90          J832.A9432.43.K6 T95.QT6.KJT8.A72 A4.87.AQ96.QT853 KQ76.KJ5.752.J94 | 1C-P-1H-P-1N
125   S  2H-N       140          87.KQ6432.T4.K32 JT64.AT9.J762.Q7 K53..AK93.AJ9654 AQ92.J875.Q85.T8 | 1C-P-1H-P-2C-P-2H
126   S  1N-N        90          652.AJ7.T963.KJ4 K984.KT92.Q2.975 A3.853.K875.AQ86 QJT7.Q64.AJ4.T32 | 1D-P-1N
127   S  2H-N       140          AJT76.AT92.765.4 K985.763.K84.K96 2.KQJ.QT92.AJ852 Q43.854.AJ3.QT73 | 1C-P-1S-P-1N-P-2H
