../bba/Open_In_Fourth_Seat.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
142   W  Pass-?     100          A53.J653.A65.Q96 T642.AT.Q842.AT4 KJ.Q42.KJT9.J753 Q987.K987.73.K82 | P
143   W  1N-N        90          K98.Q5.QJ64.8542 AQ62.9862.872.A3 T5.KT3.AK95.QJ96 J743.AJ74.T3.KT7 | P-P-P-1D-P-1N
144   W  1N-N       120          A2.T43.Q653.AT94 QT64.876.K84.KJ3 K983.Q92.AJ72.Q5 J75.AKJ5.T9.8762 | P-P-P-1D-P-1N
145   W  Pass-?     120          AQ63.AT7.J84.T54 975.Q32.KQ95.A63 JT4.KJ86.A763.J7 K82.954.T2.KQ982 | P
146   W  3N-S       600          AQ53.AT7.J76.T74 JT97.8654.A.Q652 6.KQ92.K9852.AJ3 K842.J3.QT43.K98 | P-P-P-1D-P-1S-P-1N-P-2N-P-3N
147   W  3C-S       130          K73.83.K875.KJ73 Q9852.65.QT92.Q4 T.AKQ94.J63.A852 AJ64.JT72.A4.T96 | P-P-P-1H-P-1N-P-2C-P-3C
148   W  1N-W       100          Q764.AJ54.T2.QT7 T52.96.AJ543.K64 KJ3.KQT2.K876.93 A98.873.Q9.AJ852 | 1C-P-1D-P-1N
149   W  Pass-?     100          AT3.62.J64.AT964 J765.A953.KQ7.73 Q92.T7.A952.KJ52 K84.KQJ84.T83.Q8 | P
150   W  2C-S       110          AJ432.754.A32.73 QT7.T962.Q65.KQ2 K8.K3.K94.AJT954 965.AQJ8.JT87.86 | P-P-P-1C-P-1S-P-2C
151   W  Pass-?     110          K93.9654.Q42.A73 862.J2.KJT.KQT54 AQT4.T83.A97.962 J75.AKQ7.8653.J8 | P
152   W  3D-N       150          732.A3.AJ754.QT7 KQT65.T97.32.852 94.QJ864.KQT8.AJ AJ8.K52.96.K9643 | 1C-1D-1S-2H-X=1=-P-2S-3D | Support double redouble
153   W  4H-S       -50          AQJT7.T52.95.Q54 852.73.AK432.J96 K.AKQJ86.QT7.T82 9643.94.J86.AK73 | P-P-P-1H-P-2C=1=-P-3H-P-4H | Reverse drury
154   W  Pass-?     -50          JT65.AJ42.A4.984 A94.Q753.QT87.75 K72.986.KJ53.KJ6 Q83.KT.962.AQT32 | P
155   W  Pass-?     -50          A82.Q9765.QJ.Q86 JT75.AJ82.654.KT Q96.T.AK872.J532 K43.K43.T93.A974 | P
156   W  2H-E      -140          97643.K5.AT94.83 JT.AQ962.K76.J92 AK2.874.Q5.QT654 Q85.JT3.J832.AK7 | P-P-1H-P-2C=1=-P-2D-P-2H | Drury
157   W  1N-N       120          KJ5.854.QT3.A986 A83.QT9.642.J432 962.AK62.K987.KT QT74.J73.AJ5.Q75 | P-P-P-1D-P-1N
158   W  3H-S       170          QJT82.J53.A74.T6 K653.KT.J832.943 4.AQ876.QT96.AQ7 A97.942.K5.KJ852 | 1C-1S-P-2H-P-3H
159   W  Pass-?     170          Q2.KJ3.AJT8.9853 K865.9876.K32.Q6 A73.Q542.Q64.K74 JT94.AT.975.AJT2 | P
160   W  Pass-?     170          87.AT4.AJ42.J742 A654.QJ76.Q8.Q98 QT32.985.95.AK65 KJ9.K32.KT763.T3 | P
