../bba/Open_In_Fourth_Seat.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
483   W  1HXX-N     720          JT53.K854.AQ3.T7 987.JT62.J84.AJ5 K4.Q73.KT9.KQ643 AQ62.A9.7652.982 | P-P-P-1C-P-1H-P-P-X-XX
484   W  2H-S       170          AJT4.K9.965.QJ87 Q72.T3.AKQT2.952 983.AQJ752.4.KT4 K65.864.J873.A63 | P-P-P-2H
485   W  4H-S       620          J7.JT3.AT4.KQT63 QT93.975.KQ9.J97 K654.AKQ82.752.5 A82.64.J863.A842 | P-P-P-1H-P-2C=1=-P-2D=2=-P-3N-P-4H | Reverse drury | Artificial
486   W  2C-S       130          J842.K83.AJT2.74 A97.QT52.K98.982 KT.A7.765.KQJT65 Q653.J964.Q43.A3 | P-P-P-1C-P-1S-P-2C
487   W  1N-S        90          T765.A63.J765.Q9 AQ42.854.KT84.64 9.QJT9.AQ2.A8732 KJ83.K72.93.KJT5 | P-P-P-1C-P-1S-P-1N
488   W  Pass-?      90          T95.A62.972.AK94 Q63.K743.QJ3.Q65 KJ2.QT5.K85.JT72 A874.J98.AT64.83 | P
489   W  Pass-?      90          KQ5.K65.863.JT82 AJT.87.QJ52.K654 9762.JT4.AK74.Q9 843.AQ932.T9.A73 | P
490   W  1N-N       120          Q76.AT7.A94.JT76 KJ9.9643.652.A82 T8.KJ2.KQ873.K53 A5432.Q85.JT.Q94 | P-P-P-1D-1S-1N
491   W  1N-N       120          A83.A92.7654.Q82 T742.KT5.KJT9.T3 K65.J873.AQ8.K96 QJ9.Q64.32.AJ754 | P-P-P-1C-P-1D-P-1H-P-1N
492   W  1N-S       120          K865.J5.KT2.KT82 A72.KQ83.976.973 J9.A962.Q53.AQ64 QT43.T74.AJ84.J5 | P-P-P-1C-P-1S-P-1N
493   W  3D-S       150          T962.AQ.T86.KQ52 AKJ5.J974.54.JT4 4.K865.AKQ932.87 Q873.T32.J7.A963 | P-P-P-1D-P-1S-P-2D-P-3D
494   W  3N-N       400          983.KJ752.A6.QJT J64.QT94.JT42.K4 K7.A.Q753.A98752 AQT52.863.K98.63 | P-1H-P-2C-P-2N-P-3N
495   W  3HX-N     -200          7432.T653.K9.Q72 AQ95.K8.Q532.T86 8.AJ74.J86.AK954 KJT6.Q92.AT74.J3 | P-P-P-1C-P-1H-X=1=-2H-2S-P-P-3H-X | Two suit takeout double
496   W  1N-N       150          Q84.93.K9842.AQ7 JT97.QT64.AJ7.86 AK.KJ52.T3.KT542 6532.A87.Q65.J93 | P-P-P-1C-P-1D-P-1H-P-1N
497   W  1N-N       120          AK5.953.KT82.983 QJ87.Q74.J7.AT75 T64.AK6.Q653.QJ6 932.JT82.A94.K42 | P-P-P-1D-P-1N
498   W  1N-S        90          KT98.K73.T97.K62 7432.QJT.QJ2.Q75 A6.A86.K854.JT94 QJ5.9542.A63.A83 | P-P-P-1D-P-1S-P-1N
499   W  3S-W       100          Q3.A9632.T73.K87 K9742.5.962.Q643 T.KJT8.AQJ84.AT2 AJ865.Q74.K5.J95 | 1S-P-2S-3D-P-P-3S
500   W  2N-W      -120          J753.Q943.J7.KT7 AK962.87.AT2.432 Q8.JT.KQ964.QJ96 T4.AK652.853.A85 | 1H-P-1S-P-1N-P-2D=1=-X-2N | New Minor Forcing

             -- Sorted Summary of Bidding Sequences --

    1  1C-1D-1S-2D-P=1=-P-X-P-3C | Max 2 !S
    1  1C-1D-1S-2H-X=1=-P-2S-3D | Support double redouble
    1  1C-1D-P-1S-P-1N
    1  1C-1H-P-2D-P-3N
    1  1C-1H-P-2H
    1  1C-1S
    1  1C-1S-P-2H-P-3H
    1  1C-P-1D-1H-P-P-X-2H
    1  1C-P-1D-P-1H-P-2N
    2  1C-P-1D-P-1N
    1  1C-P-1D-P-1N-P-2C
    1  1C-P-1H-P-1N
    1  1C-P-1S-2D-X=1=-P-3S | Support double redouble
    1  1C-P-1S-P-2S-P-P-X-P-3C-X
    1  1C-P-1S-X-2S-P-P-X-P-3C
    1  1D-1H-2D-2H-P-P-3D-3H
    1  1D-1S-X-2D=1=-2H-3S | Limit raise or better in !S
    1  1D-P-1H-2C-X=1=-P-2D | Support double redouble
    1  1D-P-1H-2C-X=1=-P-3H | Support double redouble
    2  1D-P-1H-P-1N
    1  1D-P-1H-P-1S-P-1N
    2  1D-P-1H-P-1S-P-2N
    1  1D-P-1N
    1  1D-P-1S-2C-X=1=-P-3S | Support double redouble
    1  1D-P-1S-P-1N
    1  1D-P-1S-P-1N-P-2D
    1  1D-P-1S-P-2S
    1  1D-P-1S-P-2S-P-3S
    1  1D-P-1S-P-2S-P-P-X-P-3H-P-P-X
    1  1D-P-2D=1=-P-2N | Inverted minors
    2  1D-P-2N
    2  1D-P-3D
    1  1H-1S-1N
    1  1H-P-1N
    2  1H-P-1S-P-1N
    1  1H-P-1S-P-1N-P-2D=1=-X-2N | New Minor Forcing
    2  1H-P-2H
    1  1H-P-3H
    3  1S-P-1N
    2  1S-P-2S
    1  1S-P-2S-3C
    1  1S-P-2S-3C-P-P-3S
    1  1S-P-2S-3D-P-P-3S
    1  1S-P-2S-P-P-X-P-3H
    2  1S-P-3S
   95  P
    1  P-1C-1D-1N
    1  P-1C-1D-X-P-1S-P-2N-P-3S
    1  P-1C-1H-2H=1=-P-3N | Limit raise or better in !C
    1  P-1C-1H-X-P-1S-P-1N
    1  P-1C-P-1D-1H-P-P-2D
    1  P-1C-P-1D-P-1N-P-2D-P-2N
    1  P-1C-P-1D-P-1S-P-3N
    1  P-1C-P-1H-P-1N-P-2N
    1  P-1C-P-1H-P-1S-P-3H-P-4H
    1  P-1C-P-1S-P-1N
    1  P-1C-P-1S-P-1N-P-2H-P-2S
    1  P-1C-P-1S-P-2S
    1  P-1C-P-1S-X=1=-XX=2=-2H-P-P-2S-3H | Two suit takeout double | Support double redouble
    1  P-1C-P-2C=1=-P-2N | Inverted minors
    2  P-1C-P-2C=1=-P-3C | Inverted minors
    1  P-1C-P-2D-P-2S-P-2N
    1  P-1D-1H-2D-2H-3D
    1  P-1D-P-1H-P-1N
    1  P-1D-P-1H-P-1N-P-2C=1=-P-2N | New Minor Forcing
    1  P-1D-P-1S-P-1N
    1  P-1D-P-1S-P-1N-P-2N
    1  P-1D-P-2C-P-2D-P-3D-P-3H-P-4D
    1  P-1D-P-2D=1=-P-2N-P-3N | Inverted minors
    2  P-1D-P-2N
    1  P-1H-P-1N=1=-P-2C-P-2N | Forcing 1NT
    1  P-1H-P-1N=1=-P-2C-P-2S=2=-P-3S-P-3N | Forcing 1NT | Limit raise or better in !C
    1  P-1H-P-1N=1=-P-2C-P-3H | Forcing 1NT
    2  P-1H-P-1S-P-1N
    1  P-1H-P-1S-P-1N-P-3H-P-4H
    1  P-1H-P-2C-P-2N-P-3N
    1  P-1H-P-2N=1=-P-4H | Jacoby 2NT
    1  P-1H-P-3C=1= | Inviting Jump Shifts
    1  P-1S-P-1N=1=-P-2C-P-2N | Forcing 1NT
    1  P-1S-P-1N=1=-P-2C-P-3S | Forcing 1NT
    2  P-1S-P-1N=1=-P-2D-P-3S | Forcing 1NT
    1  P-1S-P-2C-P-2N-P-3D-P-3N
    1  P-1S-P-2C-P-2N-P-4S
    1  P-1S-P-2D-P-2N-P-3C-P-3D-P-3N
    1  P-1S-P-2D-P-2N-P-3N
    1  P-1S-P-3S
    1  P-P-1C-1D-1H-2D-2H-3D
    1  P-P-1C-1D-1H-2D-2H-3D-3H-P-P-4D
    1  P-P-1C-1D-1H-2D-X=1=-P-2H-3D | Support double redouble
    1  P-P-1C-1D-1H-X-2H-X-P-2N-P-P-3H-P-P-X-P-4D
    1  P-P-1C-1D-2C-2D-P-2H-P-3D
    1  P-P-1C-1D-2C-P-P-2D
    1  P-P-1C-1H-1N-2H
    1  P-P-1C-1S-X-2S-P-P-3D-3S-P-P-X
    1  P-P-1C-P-1D-P-1H-P-2H
    1  P-P-1C-P-1D-P-1N-P-2N
    2  P-P-1C-P-1H
    1  P-P-1C-P-1H-P-1S-P-2S-P-P-X-P-3D
    1  P-P-1C-P-1H-P-2H-P-P-X-P-3C
    1  P-P-1C-P-1S
    1  P-P-1C-P-1S-P-2S
    1  P-P-1D-1H-1S-2H-2S-3H
    1  P-P-1D-1H-1S-P-P-X-P-2H
    1  P-P-1D-1H-P-1S-P-2C-P-3N
    1  P-P-1D-1H-X-2H-P-P-3C
    1  P-P-1D-1H-X-P-1S-P-1N
    1  P-P-1D-2H-X-P-3D
    2  P-P-1D-P-1H
    2  P-P-1D-P-1H-P-2H
    2  P-P-1D-P-1N
    2  P-P-1D-P-1S
    1  P-P-1D-X-1H-2S
    1  P-P-1H-1S-2S=1=-X-P-P-3H-P-P-3S-4H | Limit raise or better in !H
    1  P-P-1H-2C-2H-2S
    1  P-P-1H-2D-2H
    1  P-P-1H-2D-2H-2S
    1  P-P-1H-P-1N
    2  P-P-1H-P-1S
    2  P-P-1H-P-2C=1=-P-2D-P-2H | Drury
    1  P-P-1H-P-2H
    1  P-P-1H-P-2H-P-P-3C
    1  P-P-1H-P-2H-P-P-X-P-2S
    1  P-P-1H-P-2N
    1  P-P-1H-X-XX-2S
    1  P-P-1S-2C-P-P-X-P-2H
    1  P-P-1S-2H-2S
    1  P-P-1S-P-2C=1=-P-2D-P-2S | Drury
    1  P-P-1S-P-2C=1=-P-2D-X-P-P-2S | Drury
    1  P-P-1S-P-2N
    1  P-P-1S-P-2S
    1  P-P-1S-X-2S-P-P-X-P-2N-P-3N
    1  P-P-1S-X-XX-2C-P-P-2S
    4  P-P-2D
    1  P-P-2D-2H-P-3D=1=-P-3H | Limit raise or better in !H
    4  P-P-2H
    1  P-P-2H-3C
    1  P-P-2H-3D-P-3N
    1  P-P-2H-X
    1  P-P-2H-X-P-3C
    3  P-P-2S
    3  P-P-2S-3C
    1  P-P-2S-3H
    1  P-P-2S-X-P-3C
    2  P-P-2S-X-P-3H
    1  P-P-P-1C-1D-1H-P-1S-X-XX-1N
    2  P-P-P-1C-1H-1N
    1  P-P-P-1C-1H-X-P-2C
    1  P-P-P-1C-1S-1N
    1  P-P-P-1C-1S-1N-2S
    1  P-P-P-1C-1S-2D-2S-P-P-X-P-3C-P-P-3S-P-P-X
    1  P-P-P-1C-1S-X-2S-P-P-X-P-3D-P-4C
    1  P-P-P-1C-1S-X-P-1N-P-P-2S
    1  P-P-P-1C-P-1D-1S-P-2S
   11  P-P-P-1C-P-1D-P-1H-P-1N
    1  P-P-P-1C-P-1D-P-1N
    1  P-P-P-1C-P-1D-P-1S-P-1N
    1  P-P-P-1C-P-1D-P-2C
    5  P-P-P-1C-P-1H
    1  P-P-P-1C-P-1H-P-1N
    1  P-P-P-1C-P-1H-P-1N-P-2D
    1  P-P-P-1C-P-1H-P-1N-P-2D-P-2N
    2  P-P-P-1C-P-1H-P-1S-P-1N
    1  P-P-P-1C-P-1H-P-1S-X=1=-P-2D-P-P-2S | Two suit takeout double
    2  P-P-P-1C-P-1H-P-2H
    1  P-P-P-1C-P-1H-P-P-X-P-1S
    1  P-P-P-1C-P-1H-P-P-X-XX
    1  P-P-P-1C-P-1H-X=1=-2H-2S-P-P-3H-X | Two suit takeout double
    1  P-P-P-1C-P-1H-X=1=-P=2=-1S | Two suit takeout double | Max 2 !H
    3  P-P-P-1C-P-1N
    3  P-P-P-1C-P-1S
    9  P-P-P-1C-P-1S-P-1N
    1  P-P-P-1C-P-1S-P-1N-P-2D-P-2N
    1  P-P-P-1C-P-1S-P-1N-P-2S-P-2N
    3  P-P-P-1C-P-1S-P-2C
    1  P-P-P-1C-P-1S-P-2D-P-3D
    1  P-P-P-1C-P-1S-P-2S
    1  P-P-P-1C-P-1S-P-P-X-P-2D
    1  P-P-P-1C-P-2C=1=-P-2N | Inverted minors
    2  P-P-P-1C-P-3C
    1  P-P-P-1D-1H-1S-P-2S
    1  P-P-P-1D-1H-X-P-1S-P-1N-2H
    1  P-P-P-1D-1H-X-P-2D-P-2N-P-3N
    1  P-P-P-1D-1S
    2  P-P-P-1D-1S-1N
    1  P-P-P-1D-1S-1N-2S
    1  P-P-P-1D-1S-2D-2S-3D
    1  P-P-P-1D-1S-2D-2S-P-P-3C-3S-4D
    1  P-P-P-1D-1S-X-P-2C-P-2N-P-3N
    1  P-P-P-1D-1S-X-P-2D-P-P-2S
    1  P-P-P-1D-1S-X-P-2H
    3  P-P-P-1D-1S-X-P-2H-P-P-2S
    5  P-P-P-1D-P-1H
    6  P-P-P-1D-P-1H-P-1N
    1  P-P-P-1D-P-1H-P-1N-P-2N
    4  P-P-P-1D-P-1H-P-1S-P-1N
    1  P-P-P-1D-P-1H-P-1S-P-1N-P-2D
    1  P-P-P-1D-P-1H-P-2C
    1  P-P-P-1D-P-1H-P-2C-P-2N
    1  P-P-P-1D-P-1H-P-2D
    1  P-P-P-1D-P-1H-P-2D-P-3D
    9  P-P-P-1D-P-1H-P-2H
    1  P-P-P-1D-P-1H-P-3H-P-3S=1=-P-4C=2=-P-4D=3=-P-4H | Cue bid, a !S stopper | Cue bid, a !C stopper | Surplus
    1  P-P-P-1D-P-1H-P-P-X-P-1S-P-P-2H
    1  P-P-P-1D-P-1H-X=1=-2H-2S-P-P-3H | Two suit takeout double
   13  P-P-P-1D-P-1N
    1  P-P-P-1D-P-1N-P-2C-P-2D
    5  P-P-P-1D-P-1N-P-2D
    3  P-P-P-1D-P-1S
   10  P-P-P-1D-P-1S-P-1N
    2  P-P-P-1D-P-1S-P-1N-P-2C
    1  P-P-P-1D-P-1S-P-1N-P-2C-P-2N
    1  P-P-P-1D-P-1S-P-1N-P-2N
    1  P-P-P-1D-P-1S-P-1N-P-2N-P-3N
    1  P-P-P-1D-P-1S-P-1N-P-2S-P-2N
    1  P-P-P-1D-P-1S-P-1N-P-2S-P-3N
    3  P-P-P-1D-P-1S-P-2C
    1  P-P-P-1D-P-1S-P-2C-P-2D
    1  P-P-P-1D-P-1S-P-2D
    3  P-P-P-1D-P-1S-P-2D-P-3D
    2  P-P-P-1D-P-1S-P-2S
    1  P-P-P-1D-P-1S-P-P-X
    2  P-P-P-1D-P-2N
    1  P-P-P-1D-P-2N-P-3N
    1  P-P-P-1D-P-3N
    1  P-P-P-1H-1S-1N-2S
    1  P-P-P-1H-1S-1N-P-2H-P-3H-P-4H
    1  P-P-P-1H-1S-2H-P-P-X-P-3D-3H
    3  P-P-P-1H-P-1N
    1  P-P-P-1H-P-1N-P-2C-P-3C
    1  P-P-P-1H-P-1N-P-2H-P-3H
    3  P-P-P-1H-P-1S
    1  P-P-P-1H-P-1S-P-2C-P-3C
    1  P-P-P-1H-P-1S-P-2D
    3  P-P-P-1H-P-1S-P-2D-P-2H
    1  P-P-P-1H-P-1S-P-2D-P-2N
    1  P-P-P-1H-P-1S-P-2H
    1  P-P-P-1H-P-1S-P-2H-P-3H-P-4H
    1  P-P-P-1H-P-1S-P-P-X-XX-1N
    1  P-P-P-1H-P-1S-X=1=-XX=2=-2C-3H | Two suit takeout double | Support double redouble
    1  P-P-P-1H-P-2C=1=-P-2D=2=-P-2H | Reverse drury | Artificial
    4  P-P-P-1H-P-2C=1=-P-2D=2=-P-2H-P-3H | Reverse drury | Artificial
    1  P-P-P-1H-P-2C=1=-P-2D=2=-P-3N-P-4H | Reverse drury | Artificial
    1  P-P-P-1H-P-2C=1=-P-2D=2=-X-P-P-2H-P-P-3D-3H | Reverse drury | Artificial
    4  P-P-P-1H-P-2C=1=-P-2H | Reverse drury
    1  P-P-P-1H-P-2C=1=-P-2H-P-2N-P-3H | Reverse drury
    2  P-P-P-1H-P-2C=1=-P-2H-P-3H | Reverse drury
    1  P-P-P-1H-P-2C=1=-P-3H-P-4H | Reverse drury
    9  P-P-P-1H-P-2H
    1  P-P-P-1H-P-2H-P-P-X-P-2S-3H
    2  P-P-P-1H-P-2N
    1  P-P-P-1H-P-2N-P-3H
    1  P-P-P-1H-P-2N-P-3H-P-4H
    1  P-P-P-1S-P-1N
    1  P-P-P-1S-P-1N-P-2D
    1  P-P-P-1S-P-1N-P-2D-P-3D
    1  P-P-P-1S-P-1N-P-2H-P-4H
    2  P-P-P-1S-P-2C=1=-P-2S | Reverse drury
    1  P-P-P-1S-P-2N
    1  P-P-P-1S-P-2S-P-P-X-P-3H
    1  P-P-P-2H
    1  P-P-P-2S

   -- Sorted Summary of Notes (the first character is forced to upper case) --

    7  Artificial
    1  Cue bid, a !C stopper
    1  Cue bid, a !S stopper
    4  Drury
    7  Forcing 1NT
    6  Inverted minors
    1  Inviting Jump Shifts
    1  Jacoby 2NT
    2  Limit raise or better in !C
    2  Limit raise or better in !H
    1  Limit raise or better in !S
    1  Max 2 !H
    1  Max 2 !S
    2  New Minor Forcing
   17  Reverse drury
    8  Support double redouble
    1  Surplus
    6  Two suit takeout double
